Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1/25/2017,Wednesday,1210.1,1210.1,1192.6,1200.1,13,1197.8,3479,2225
1/24/2017,Tuesday,1218,1220.1,1206.2,1208.1,4.8,1210.8,2071,2280
1/23/2017,Monday,1208.9,1219.3,1208.9,1217.9,10.7,1215.6,2709,2145
1/20/2017,Friday,1204.4,1214.6,1198.3,1209.5,3.4,1204.9,3080,2159
1/19/2017,Thursday,1203.5,1206.5,1195.5,1204.4,10.6,1201.5,4006,2187
1/18/2017,Wednesday,1216.9,1217.2,1201.7,1203.6,0.8,1212.1,2791,2325
1/17/2017,Tuesday,1199.9,1218.7,1198.1,1216.6,16.7,1212.9,5108,2191
1/13/2017,Friday,1196.2,1201.5,1187.7,1197.2,3.6,1196.2,3772,2189
1/12/2017,Thursday,1192.2,1207.1,1190.5,1195.2,3.2,1199.8,3435,2028
1/11/2017,Wednesday,1188.2,1198.5,1177.1,1191.6,11.1,1196.6,4711,2125
1/10/2017,Tuesday,1183.1,1190.6,1180.4,1187.6,0.6,1185.5,2869,2087
1/9/2017,Monday,1173.7,1186.3,1172.3,1181,11.5,1184.9,2098,2067
1/6/2017,Friday,1181.3,1183.4,1171.4,1172.8,7.9,1173.4,3385,2088
1/5/2017,Thursday,1164.4,1185.7,1163.6,1180.8,16,1181.3,3567,2060
1/4/2017,Wednesday,1159.5,1168.6,1156.9,1163.9,3.3,1165.3,2143,2102
1/3/2017,Tuesday,1151.7,1166,1146.7,1159.3,10.3,1162,4025,2287
12/30/2016,Friday,1159.1,1164.4,1150.5,1152.2,6.4,1151.7,2654,2229
12/29/2016,Thursday,1142.9,1160.5,1142.6,1159.1,17.2,1158.1,2777,2470
12/28/2016,Wednesday,1142,1142,1133.3,1133.3,2.1,1139.4,2,410
12/27/2016,Tuesday,1136.5,1144.9,1136.5,1143.3,5.4,1137.3,17,425
12/23/2016,Friday,1133.4,1133.4,1133.4,1133.4,3.1,1131.9,5,425
12/22/2016,Thursday,1128.8,1128.8,1128.8,1128.8,2.3,1128.8,0,425
12/21/2016,Wednesday,1131.1,1131.1,1131.1,1131.1,0.4,1131.1,0,425
12/20/2016,Tuesday,1131.5,1131.5,1133.3,1133.3,9,1131.5,0,425
12/19/2016,Monday,1140.8,1140.8,1140.8,1140.8,5.2,1140.5,1,426
12/16/2016,Friday,1129.7,1137.7,1129.7,1137.7,7.5,1135.3,2,427
12/15/2016,Thursday,1130,1131.5,1126.5,1130.6,33.5,1127.8,15,428
12/14/2016,Wednesday,1165.2,1165.2,1145,1145,4.6,1161.3,4,429
12/13/2016,Tuesday,1164.8,1164.8,1160.3,1160.8,6.8,1156.7,4,431
